TAXON_ORDER,ENAME,CNAME
6444,Roseate Tern,紅燕鷗
6454,Black-naped Tern,蒼燕鷗
6457,Common Tern,燕鷗
6489,Great Crested Tern,鳳頭燕鷗
6494,Sandwich Tern,白嘴端燕鷗
6502,Lesser Crested Tern,小鳳頭燕鷗
6506,Chinese Crested Tern,黑嘴端鳳頭燕鷗
6523,White-tailed Tropicbird,白尾熱帶鳥
6530,Red-billed Tropicbird,紅嘴熱帶鳥
6534,Red-tailed Tropicbird,紅尾熱帶鳥
6541,Red-throated Loon,紅喉潛鳥
6542,Arctic Loon,黑喉潛鳥
6545,Pacific Loon,太平洋潛鳥
6548,Yellow-billed Loon,白嘴潛鳥
6609,Laysan Albatross,黑背信天翁
6610,Black-footed Albatross,黑腳信天翁
6612,Short-tailed Albatross,短尾信天翁
6651,Leach's Storm-Petrel,白腰叉尾海燕
6660,Swinhoe's Storm-Petrel,黑叉尾海燕
6676,Matsudaira's Storm-Petrel,日本叉尾海燕
6677,Tristram's Storm-Petrel,褐翅叉尾海燕
6686,Northern Fulmar,暴風鸌
6739,Bonin Petrel,白腹穴鳥
6773,Bulwer's Petrel,穴鳥
6778,Tahiti Petrel,黑背白腹穴鳥
6789,Streaked Shearwater,大水薙鳥
6796,Flesh-footed Shearwater,肉足水薙鳥
6799,Wedge-tailed Shearwater,長尾水薙鳥
6801,Sooty Shearwater,灰水薙鳥
6802,Short-tailed Shearwater,短尾水薙鳥
6867,Black Stork,黑鸛
6876,White Stork,白鸛
6879,Oriental Stork,東方白鸛
6897,Lesser Frigatebird,白斑軍艦鳥
6905,Great Frigatebird,軍艦鳥
6912,Masked Booby,藍臉鰹鳥
6923,Brown Booby,白腹鰹鳥
6930,Red-footed Booby,紅腳鰹鳥
6960,Red-faced Cormorant,紅臉鸕鷀
6961,Pelagic Cormorant,海鸕鷀
6965,Great Cormorant,鸕鷀
6974,Japanese Cormorant,丹氏鸕鷀
7042,Dalmatian Pelican,卷羽鵜鶘
7053,Great Bittern,大麻鷺
7058,Yellow Bittern,黃小鷺
7065,Schrenck's Bittern,秋小鷺
7066,Cinnamon Bittern,栗小鷺
7069,Black Bittern,黃頸黑鷺
7100,Gray Heron,蒼鷺
7117,Purple Heron,紫鷺
7124,Great Egret,大白鷺
7130,Intermediate Egret,中白鷺
7136,White-faced Heron,白臉鷺
7139,Chinese Egret,唐白鷺
7140,Little Egret,小白鷺
7149,Pacific Reef-Heron,岩鷺
7167,Pied Heron,白頸黑鷺
7170,Cattle Egret,黃頭鷺
7176,Chinese Pond-Heron,池鷺
7177,Javan Pond-Heron,爪哇池鷺
7189,Striated Heron,綠簑鷺
7227,Black-crowned Night-Heron,夜鷺
7232,Rufous Night-Heron,棕夜鷺
7253,Japanese Night-Heron,麻鷺
7254,Malayan Night-Heron,黑冠麻鷺
7268,Glossy Ibis,彩䴉
7296,Black-headed Ibis,黑頭白䴉
7306,Crested Ibis,朱鷺
7320,Eurasian Spoonbill,白琵鷺
7326,Black-faced Spoonbill,黑面琵鷺
7351,Osprey,魚鷹
7360,Black-winged Kite,黑翅鳶
7398,Oriental Honey-buzzard,東方蜂鷹
7440,Black Baza,黑冠鵑隼
7447,Cinereous Vulture,禿鷲
7476,Crested Serpent-Eagle,大冠鷲
7532,Mountain Hawk-Eagle,熊鷹
7559,Black Eagle,林鵰
7564,Greater Spotted Eagle,花鵰
7569,Booted Eagle,靴雕
7582,Imperial Eagle,白肩鵰
7596,Bonelli's Eagle,白腹鵰
7637,Gray-faced Buzzard,灰面鵟鷹
7652,Hen Harrier,灰澤鵟
7656,Pied Harrier,花澤鵟
7662,Crested Goshawk,鳳頭蒼鷹
7689,Shikra,褐耳鷹
7702,Chinese Sparrowhawk,赤腹鷹
7771,Japanese Sparrowhawk,日本松雀鷹
7776,Besra,松雀鷹
7805,Eurasian Sparrowhawk,北雀鷹
7846,Northern Goshawk,蒼鷹
7867,Black Kite,黑鳶
7880,Brahminy Kite,栗鳶
7889,White-tailed Eagle,白尾海鵰
7891,Steller's Sea-Eagle,虎頭海鵰
7892,White-bellied Sea-Eagle,白腹海鵰
8031,Rough-legged Hawk,毛足鵟
8040,Common Buzzard,歐亞鵟
8050,Eastern Buzzard,東方鵟
8067,Upland Buzzard,大鵟
8102,Australasian Grass-Owl,草鴞
8167,Mountain Scops-Owl,黃嘴角鴞
8186,Collared Scops-Owl,領角鴞
8225,Ryukyu Scops-Owl,蘭嶼角鴞
8268,Oriental Scops-Owl,東方角鴞
8414,Eurasian Eagle-Owl,鵰鴞
8474,Tawny Fish-Owl,黃魚鴞
8491,Collared Owlet,鵂鶹
8589,Little Owl,縱紋腹小鴞
8656,Brown Wood-Owl,褐林鴞
8683,Himalayan Owl,東方灰林鴞
8725,Long-eared Owl,長耳鴞
8748,Short-eared Owl,短耳鴞
8833,Northern Boobook,褐鷹鴞
9081,Eurasian Hoopoe,戴勝
9306,Common Kingfisher,翠鳥
9364,Black-backed Dwarf-Kingfisher,三趾翠鳥
9460,Ruddy Kingfisher,赤翡翠
9474,White-throated Kingfisher,蒼翡翠
9487,Black-capped Kingfisher,黑頭翡翠
9583,Collared Kingfisher,白領翡翠
9698,Pied Kingfisher,斑翡翠
9766,Blue-throated Bee-eater,藍喉蜂虎
9774,Blue-tailed Bee-eater,栗喉蜂虎
9776,Rainbow Bee-eater,彩虹蜂虎
9816,Dollarbird,佛法僧
10210,Taiwan Barbet,五色鳥
10432,Eurasian Wryneck,地啄木
10656,Gray-capped Woodpecker,小啄木
10743,White-backed Woodpecker,大赤啄木
11045,Gray-headed Woodpecker,綠啄木
